Line,treat,td,gut,cell mean (um),cell median (um),gut thickness (um)
9024KO,db11,16h,1,18.5267,19.0683
9024KO,db11,16h,3,22.1943,21.9525
9024KO,db11,16h,4,19.6581,18.8113
9024KO,db11,16h,5,24.2366,25.196
9024KO,db11,16h,7,18.2364,19.2095
9024KO,db11,16h,8,22.4484,22.6842
9024KO,db11,3h,4,22.1092,22.3335
9024KO,db11,3h,5,27.0891,28.3965
9024KO,db11,3h,7,23.9547,24.4775
9024KO,db11,3h,8,22.0553,22.2899
9024KO,sucrose,16h,1,26.1727,28.0053
9024KO,sucrose,16h,2,21.994,20.9156
9024KO,sucrose,16h,3,23.0594,22.8031
9024KO,sucrose,16h,4,19.7216,16.7944
9024KO,sucrose,16h,5,24.3945,25.8819
9024KO,sucrose,16h,6,23.4871,24.5965
9024KO,sucrose,16h,7,22.7653,23.1089
9024KO,sucrose,16h,8,19.3396,19.0683
9024KO,sucrose,16h,9,25.0883,25.8381
w1118,db11,16h,1,13.7077,13.0222
w1118,db11,16h,2,15.5703,16.1242
w1118,db11,16h,3,14.8245,12.8635
w1118,db11,16h,4,12.5741,11.7749
w1118,db11,16h,5,22.1995,23.0906
w1118,db11,16h,7,20.7653,19.2545
w1118,db11,16h,8,16.6216,16.1611
w1118,db11,16h,9,26.9726,27.3686
w1118,db11,3h,1,19.9718,20.2777
w1118,db11,3h,10,18.9719,17.9523
w1118,db11,3h,11,17.4225,14.8389
w1118,db11,3h,2,17.2824,16.7429
w1118,db11,3h,3,27.6843,28.3374
w1118,db11,3h,4,19.0621,18.5857
w1118,db11,3h,5,20.6014,20.2617
w1118,db11,3h,6,21.9446,21.6199
w1118,db11,3h,7,24.7113,24.9804
w1118,db11,3h,8,25.8435,25.7269
w1118,db11,3h,9,25.37,25.7983
w1118,sucrose,16h,1,22.5848,23.5314
w1118,sucrose,16h,10,23.1659,23.9098
w1118,sucrose,16h,11,21.9044,22.3553
w1118,sucrose,16h,2,25.4568,26.6884
w1118,sucrose,16h,3,25.4568,26.6884
w1118,sucrose,16h,4,24.7527,25.0453
w1118,sucrose,16h,5,24.8457,26.3171
w1118,sucrose,16h,6,25.4834,27.0387
w1118,sucrose,16h,7,26.4059,27.2518
w1118,sucrose,16h,8,26.7728,28.1556
w1118,sucrose,16h,9,25.7897,26.3828
